DIPIRIDAMOL, DIPIRIDAMOL
DIPIRITIONA, DIPIRITIONA
DIPIRITIONA MAGNÉSICA, DIPIRITIONA MAGNESICA
DIPIROCETILA, DIPIROCETILA
DIPIRONA, DIPIRONA
DIPIRONA MAGNÉSICA, DIPIRONA MAGNESICA
DIPIRONA MONOIDRATADA, DIPIRONA MONOIDRATADA
DIPIVEFRINA, DIPIVEFRINA
DIPRAFENONA, DIPRAFENONA
DIPRENORFINA, DIPRENORFINA
DIPROBUTINA, DIPROBUTINA
DIPROFENO, DIPROFENO
DIPROFILINA, DIPROFILINA
DIPROLEANDOMICINA, DIPROLEANDOMICINA
DIPROPILENOGLICOL, DIPROPILENOGLICOL
DIPROPIONATO DE ALCLOMETASONA, DIPROPIONATO ALCLOMETASONA
DIPROPIONATO DE BECLOMETASONA, DIPROPIONATO BECLOMETASONA
DIPROPIONATO DE BETAMETASONA, DIPROPIONATO BETAMETASONA
DIPROPIONATO DE BOLANDIOL, DIPROPIONATO BOLANDIOL
DIPROPIONATO DE DIETILESTILBESTROL, DIPROPIONATO DIETILESTILBESTROL
DIPROPIONATO DE ESTRADIOL, DIPROPIONATO ESTRADIOL
DIPROPIONATO DE METANDRIOL, DIPROPIONATO METANDRIOL
DIPROQUALONA, DIPROQUALONA
DIPROTEVERINA, DIPROTEVERINA
DIPROTRIZOATO DE SÓDIO, DIPROTRIZOATO SODIO
DIPROXADOL, DIPROXADOL
DIRAZEPATO DE ETILA, DIRAZEPATO ETILA
DIRITROMICINA, DIRITROMICINA
DISOBUTAMIDA, DISOBUTAMIDA
DISOFENINA, DISOFENINA
DISOFENINA (99M TC), DISOFENINA (99M TC)
DISOGLUSIDA, DISOGLUSIDA
DISOPIRAMIDA, DISOPIRAMIDA
DISOXARILA, DISOXARILA
DISSULERGINA, DISSULERGINA
DISSULFAMIDA, DISSULFAMIDA
DISSULFATO DE CAPREOMICINA, DISSULFATO CAPREOMICINA
DISSULFETO DE TIAMINA, DISSULFETO TIAMINA
DISSULFIRAM, DISSULFIRAM
DISUPRAZOL, DISUPRAZOL
DITAZOL, DITAZOL
DITEQUIRENO, DITEQUIRENO
DITIOCARBE SÓDICO, DITIOCARBE SODICO
DITIOMUSTINA, DITIOMUSTINA
DITOFAL, DITOFAL
DITOLAMIDA, DITOLAMIDA
DITOSILATO DE LAPATINIBE, DITOSILATO LAPATINIBE
DITRANOL, DITRANOL
DIVABUTEROL, DIVABUTEROL
DIVALPROATO DE SÓDIO, DIVALPROATO SODIO
DIVAPLONA, DIVAPLONA
DIXANTÓGENO, DIXANTOGENO
DIXIRAZINA, DIXIRAZINA
DIZATRIFONA, DIZATRIFONA
DIZOCILPINA, DIZOCILPINA
DI-HIDROCHALCONA NEOESPERIDINA, DI-HIDROCHALCONA NEOESPERIDINA
DIESTEARATO DE GLICERILA, DIESTEARATO GLICERILA
